candle_date_time_kst,opening_price,trade_price,high_price,change_rate,market,candle_date_time_utc,prev_closing_price,candle_acc_trade_volume,change_price,low_price,candle_acc_trade_price,timestamp
2025-08-06T09:00:00,4154.00000000,4164.00000000,4200.00000000,0.0021660650,KRW-XRP,2025-08-06T00:00:00,4155.00000000,93590636.39442588,9.00000000,4059.00000000,386227731421.28827562,1754524799541,
2025-08-05T09:00:00,4276.00000000,4155.00000000,4334.00000000,-0.0280701754,KRW-XRP,2025-08-05T00:00:00,4275.00000000,141593354.22555973,-120.00000000,4101.00000000,598060847001.89223185,1754438399480,
2025-08-04T09:00:00,4140.00000000,4275.00000000,4297.00000000,0.0326086957,KRW-XRP,2025-08-04T00:00:00,4140.00000000,163467378.65903410,135.00000000,4106.00000000,689247215184.63440914,1754351999974,
2025-08-03T09:00:00,3876.00000000,4140.00000000,4153.00000000,0.0683870968,KRW-XRP,2025-08-03T00:00:00,3875.00000000,162112490.75498409,265.00000000,3811.00000000,645680360520.38967311,1754265599833,
2025-08-02T09:00:00,4125.00000000,3875.00000000,4210.00000000,-0.0608337373,KRW-XRP,2025-08-02T00:00:00,4126.00000000,207180274.63059253,-251.00000000,3836.00000000,830881967441.55652545,1754179199959,
2025-08-01T09:00:00,4212.00000000,4126.00000000,4235.00000000,-0.0204178538,KRW-XRP,2025-08-01T00:00:00,4212.00000000,236234522.43601503,-86.00000000,4057.00000000,978904968846.49166070,1754092799219,
2025-07-31T09:00:00,4284.00000000,4212.00000000,4377.00000000,-0.0168067227,KRW-XRP,2025-07-31T00:00:00,4284.00000000,105519616.71399270,-72.00000000,4210.00000000,453886984342.68590519,1754006400035,
2025-07-30T09:00:00,4330.00000000,4284.00000000,4349.00000000,-0.0106235566,KRW-XRP,2025-07-30T00:00:00,4330.00000000,120487084.84831970,-46.00000000,4205.00000000,516632194780.58884469,1753919999957,
2025-07-29T09:00:00,4298.00000000,4330.00000000,4377.00000000,0.0072109793,KRW-XRP,2025-07-29T00:00:00,4299.00000000,112480633.85377769,31.00000000,4239.00000000,485219490968.87017761,1753833599866,
2025-07-28T09:00:00,4409.00000000,4299.00000000,4514.00000000,-0.0249489680,KRW-XRP,2025-07-28T00:00:00,4409.00000000,185364779.41807920,-110.00000000,4287.00000000,817184276239.16055767,1753747199877,
2025-07-27T09:00:00,4325.00000000,4409.00000000,4417.00000000,0.0194219653,KRW-XRP,2025-07-27T00:00:00,4325.00000000,106876164.04055487,84.00000000,4314.00000000,467031057792.34713128,1753660799947,
2025-07-26T09:00:00,4280.00000000,4325.00000000,4390.00000000,0.0105140187,KRW-XRP,2025-07-26T00:00:00,4280.00000000,98473194.80833396,45.00000000,4241.00000000,425999253051.49958729,1753574399933,
2025-07-25T09:00:00,4277.00000000,4280.00000000,4320.00000000,0.0007014262,KRW-XRP,2025-07-25T00:00:00,4277.00000000,208190516.55280403,3.00000000,4127.00000000,881166826994.67572738,1753488000034,
2025-07-24T09:00:00,4344.00000000,4277.00000000,4442.00000000,-0.0154235727,KRW-XRP,2025-07-24T00:00:00,4344.00000000,463337508.40641622,-67.00000000,4010.00000000,1971826373550.78319000,1753401600015,
2025-07-23T09:00:00,4807.00000000,4344.00000000,4810.00000000,-0.0965058236,KRW-XRP,2025-07-23T00:00:00,4808.00000000,450344936.24714176,-464.00000000,4150.00000000,2008276815238.92884321,1753315199978,
